SubjectId,Label
0,1
1,3
2,0
3,2
4,0
5,2
6,3
7,0
8,3
9,1
10,0
11,0
12,1
13,0
14,0
15,3
16,3
17,0
18,3
19,0
20,2
21,0
22,2
23,2
24,0
25,2
26,0
27,0
28,2
29,0
30,0
31,0
32,0
33,1
34,3
35,2
36,1
37,0
38,3
39,3
40,3
41,0
42,2
43,2
44,2
45,3
46,2
47,0
48,2
49,2
50,0
51,0
52,1
53,0
54,0
55,1
56,2
57,0
58,3
59,2
60,0
61,2
62,1
63,2
64,2
65,3
66,1
67,2
68,0
69,2
70,1
71,1
72,2
73,2
74,2
75,0
76,0
77,2
78,2
79,2
80,2
81,1
82,2
83,0
84,2
85,3
86,1
87,0
88,0
89,0
90,0
91,0
92,2
93,0
94,0
95,2
96,3
97,1
98,2
99,0
100,2
101,0
102,2
103,3
104,1
105,2
106,2
107,3
108,2
109,0
110,1
111,3
112,0
113,2
114,3
115,0
116,0
117,1
118,0
119,1
120,0
121,0
122,0
123,0
124,1
125,3
126,0
127,3
128,1
129,0
130,3
131,0
132,3
133,2
134,2
135,3
136,1
137,3
138,2
139,0
140,1
141,0
142,0
143,0
144,2
145,2
146,1
147,0
148,3
149,2
150,0
151,0
152,0
153,2
154,0
155,0
156,0
157,2
158,0
159,0
160,2
161,0
162,1
163,0
164,2
165,3
166,2
167,0
168,2
169,1
170,0
171,2
172,0
173,3
174,0
175,1
176,2
177,3
178,0
179,0
180,0
181,1
182,2
183,0
184,1
185,0
186,1
187,0
188,0
189,0
190,0
191,2
192,0
193,2
194,3
195,0
196,2
197,1
198,1
199,3
200,0
201,2
202,1
203,2
204,3
205,0
206,0
207,3
208,3
209,0
210,2
211,0
212,2
213,3
214,0
215,0
216,2
217,2
218,0
219,0
220,3
221,0
222,2
223,0
224,0
225,1
226,2
227,3
228,0
229,0
230,3
231,1
232,0
233,1
234,3
235,0
236,0
237,2
238,0
239,2
240,0
241,2
242,3
243,2
244,2
245,2
246,0
247,1
248,2
249,1
250,2
251,3
252,3
253,2
254,0
255,2
256,0
257,0
258,2
259,3
260,2
261,0
262,0
263,3
264,2
265,2
266,3
267,2
268,0
269,1
270,2
271,0
272,0
273,3
274,0
275,3
276,3
277,3
278,0
279,3
280,2
281,0
282,2
283,1
284,0
285,3
286,0
287,3
288,2
289,0
290,0
291,0
292,0
293,2
294,3
295,0
296,0
297,2
298,2
299,2
300,0
301,0
302,0
303,0
304,2
305,2
306,0
307,0
308,0
309,3
310,2
311,2
312,2
313,1
314,2
315,0
316,0
317,0
318,2
319,1
320,3
321,1
322,2
323,0
324,2
325,2
326,2
327,1
328,0
329,2
330,0
331,2
332,2
333,0
334,2
335,3
336,2
337,0
338,0
339,2
340,2
341,2
342,0
343,0
344,0
345,2
346,0
347,2
348,3
349,3
350,1
351,1
352,1
353,3
354,0
355,2
356,1
357,2
358,2
359,1
360,2
361,2
362,0
363,0
364,0
365,1
366,0
367,0
368,3
369,0
370,0
371,2
372,3
373,1
374,1
375,3
376,1
377,2
378,2
379,2
380,2
381,0
382,1
383,0
384,3
385,2
386,3
387,1
388,0
389,0
390,1
391,0
392,2
393,2
394,0
395,3
396,3
397,2
398,0
399,0
400,0
401,0
402,0
403,1
404,3
405,3
406,0
407,1
408,1
409,1
410,3
411,0
412,0
413,0
414,2
415,3
416,0
417,0
418,1
419,1
420,0
421,2
422,2
423,1
424,2
425,3
426,3
427,3
428,0
429,0
430,0
431,2
432,0
433,0
434,1
435,1
436,3
437,2
438,0
439,1
440,2
441,2
442,1
443,0
444,1
445,3
446,2
447,3
448,3
449,2
450,2
451,2
452,0
453,0
454,0
455,2
456,1
457,1
458,2
459,2
460,0
461,2
462,0
463,2
464,0
465,3
466,0
467,0
468,1
469,1
470,2
471,0
472,0
473,0
474,1
475,2
476,2
477,1
478,0
479,3
480,3
481,1
482,1
483,0
484,3
485,2
486,0
487,0
488,2
489,0
490,0
491,0
492,0
493,0
494,3
495,2
496,2
497,0
498,3
499,1
500,2
501,0
502,3
503,3
504,2
505,0
506,0
507,0
508,3
509,1
510,2
511,3
512,2
513,0
514,1
515,1
516,1
517,1
518,2
519,3
520,0
521,3
522,0
523,1
524,2
525,3
526,0
527,0
528,2
529,0
530,2
531,2
532,2
533,3
534,0
535,0
536,3
537,0
538,0
539,0
540,1
541,3
542,1
543,0
544,2
545,0
546,3
547,3
548,3
549,2
550,1
551,3
552,2
553,0
554,0
555,1
556,1
557,2
558,0
559,0
560,2
561,3
562,3
563,1
564,2
565,2
566,2
567,2
568,0
569,1
570,3
571,3
572,0
573,2
574,2
575,2
576,0
577,2
578,2
579,3
580,0
581,0
582,3
583,2
584,0
585,0
586,1
587,0
588,3
589,2
590,0
591,0
592,0
593,0
594,2
595,3
596,1
597,3
598,1
599,3
600,0
601,1
602,0
603,0
604,0
605,2
606,0
607,2
608,2
609,0
610,0
611,0
612,0
613,0
614,0
615,2
616,3
617,0
618,3
619,3
620,2
621,3
622,0
623,3
624,0
625,3
626,2
627,2
628,2
629,1
630,3
631,0
632,2
633,2
634,2
635,2
636,0
637,2
638,3
639,0
640,0
641,0
642,0
643,0
644,2
645,3
646,2
647,0
648,3
649,0
650,2
651,2
652,3
653,0
654,0
655,0
656,0
657,3
658,0
659,2
660,1
661,0
662,0
663,3
664,0
665,2
666,0
667,2
668,0
669,0
670,0
671,2
672,3
673,3
674,0
675,2
676,3
677,0
678,0
679,1
680,0
681,0
682,0
683,2
684,0
685,0
686,2
687,0
688,0
689,1
690,3
691,2
692,2
693,2
694,3
695,3
696,2
697,0
698,0
699,1
700,3
701,2
702,1
703,3
704,0
705,0
706,0
707,2
708,1
709,3
710,2
711,0
712,0
713,0
714,0
715,1
716,0
717,3
718,0
719,0
720,2
721,0
722,2
723,0
724,0
725,1
726,2
727,2
728,0
729,3
730,3
731,1
732,2
733,3
734,0
735,3
736,0
737,1
738,0
739,0
740,0
741,2
742,0
743,0
744,0
745,1
746,0
747,0
748,2
749,0
750,0
751,1
752,2
753,2
754,1
755,0
756,3
757,2
758,0
759,1
760,0
761,1
762,0
763,0
764,0
765,3
766,0
767,1
768,0
769,2
770,0
771,2
772,1
773,0
774,1
775,2
776,2
777,0
778,0
779,2
780,1
781,1
782,2
783,2
784,3
785,0
786,2
787,0
788,0
789,3
790,2
791,2
792,1
793,0
794,2
795,0
796,1
797,2
798,0
799,0
800,2
801,2
802,3
803,3
804,2
805,2
806,3
807,0
808,0
809,1
810,1
811,3
812,0
813,1
814,0
815,3
816,2
817,2
818,1
819,2
820,0
821,1
822,0
823,0
824,3
825,0
826,2
827,0
828,1
829,0
830,2
831,2
832,0
833,0
834,0
835,2
836,0
837,0
838,0
839,0
840,2
841,0
842,2
843,0
844,2
845,2
846,2
847,0
848,0
849,3
850,0
851,3
852,0
853,3
854,3
855,2
856,0
857,0
858,2
859,2
860,3
861,0
862,2
863,2
864,1
865,0
866,1
867,3
868,2
869,2
870,2
871,3
872,2
873,2
874,1
875,0
876,2
877,2
878,3
879,0
880,2
881,0
882,2
883,0
884,3
885,0
886,3
887,0
888,0
889,0
890,3
891,1
892,0
893,1
894,1
895,0
896,2
897,2
898,2
899,0
900,0
901,3
902,1
903,2
904,2
905,3
906,2
907,2
908,2
909,3
910,1
911,3
912,0
913,1
914,3
915,0
916,2
917,0
918,0
919,0
920,2
921,0
922,0
923,2
924,2
925,2
926,0
927,2
928,3
929,3
930,2
931,3
932,0
933,0
934,1
935,0
936,0
937,3
938,0
939,3
940,0
941,2
942,2
943,3
944,3
945,2
946,0
947,2
948,3
949,2
950,1
951,2
952,1
953,1
954,3
955,1
956,0
957,1
958,3
959,0
960,0
961,0
962,3
963,2
964,1
965,3
966,3
967,3
968,0
969,2
970,0
971,0
972,2
973,0
974,2
975,0
976,2
977,0
978,2
979,0
980,3
981,0
982,0
983,0
984,2
985,1
986,0
987,2
988,0
989,0
990,0
991,0
992,2
993,0
994,1
995,3
996,0
997,1
998,0
999,3
1000,3
1001,0
1002,3
1003,2
1004,0
1005,3
1006,0
1007,0
1008,0
1009,0
1010,2
1011,0
1012,3
1013,3
1014,0
1015,2
1016,2
1017,1
1018,3
1019,2
1020,0
1021,2
1022,0
1023,0
1024,2
1025,2
1026,0
1027,1
1028,1
1029,3
1030,3
1031,0
1032,3
1033,1
1034,0
1035,0
1036,2
1037,0
1038,0
1039,2
1040,2
1041,0
1042,2
1043,0
1044,0
1045,1
1046,3
1047,1
1048,2
1049,2
1050,0
1051,3
1052,0
1053,2
1054,1
1055,3
1056,3
1057,2
1058,2
1059,0
1060,0
1061,0
1062,0
1063,0
1064,2
1065,0
1066,0
1067,2
1068,3
1069,3
1070,2
1071,0
1072,3
1073,0
1074,0
1075,1
1076,0
1077,0
1078,1
1079,0
1080,0
1081,2
1082,0
1083,0
1084,1
1085,0
1086,3
1087,1
1088,2
1089,2
1090,0
1091,2
1092,3
1093,0
1094,1
1095,3
1096,1
1097,1
1098,3
1099,0
1100,0
1101,1
1102,0
1103,0
1104,2
1105,0
1106,2
1107,2
1108,0
1109,0
1110,3
1111,2
1112,2
1113,1
1114,0
1115,0
1116,3
1117,2
1118,1
1119,0
1120,2
1121,2
1122,3
1123,0
1124,0
1125,3
1126,1
1127,1
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,1
1135,0
1136,2
1137,2
1138,3
1139,0
1140,0
1141,0
1142,0
1143,3
1144,0
1145,3
1146,2
1147,0
1148,3
1149,3
1150,3
1151,0
1152,2
1153,2
1154,3
1155,2
1156,0
1157,3
1158,2
1159,3
1160,2
1161,1
1162,1
1163,0
1164,1
1165,3
1166,2
1167,2
1168,2
1169,0
1170,2
1171,2
1172,3
1173,0
1174,1
1175,0
1176,0
1177,2
1178,2
1179,1
1180,0
1181,2
1182,1
1183,0
1184,1
1185,0
1186,0
1187,0
1188,2
1189,0
1190,3
1191,0
1192,2
1193,0
1194,1
1195,3
1196,0
1197,2
1198,3
1199,0
1200,2
1201,2
1202,0
1203,3
1204,1
1205,0
1206,2
1207,0
1208,0
1209,0
1210,2
1211,0
1212,3
1213,0
1214,0
1215,0
1216,1
1217,1
1218,0
1219,0
1220,3
1221,0
1222,1
1223,3
1224,3
1225,3
1226,3
1227,0
1228,2
1229,2
1230,2
1231,2
1232,2
1233,0
1234,0
1235,0
1236,0
1237,0
1238,3
1239,1
1240,0
1241,0
1242,3
1243,2
1244,0
1245,0
1246,0
1247,2
1248,0
1249,3
1250,0
1251,2
1252,2
1253,1
1254,0
1255,2
1256,2
